comment_id,author_id,comment_time,comment_message,post_id,post_type,post_time
122112815432885477_1007608515090843,,2026-06-09T23:00:58+0000,Are u Ai?,959200767287091_122112815432885477,video,2026-06-09T13:00:16+0000
122112688496885477_1516483683824213,1182562874931238,2026-06-09T04:23:57+0000,https://frontend-test.banlv-ai.com,959200767287091_122112688496885477,video,2026-06-09T01:00:58+0000
122112323018885477_1405112131666151,,2026-06-09T00:49:39+0000,"Can you share it with me or better than that? Can I eat you? You see I can even do better than the chat. AI chat is not a as authentic , ￼as I am I am real your not !!",959200767287091_122112323018885477,video,2026-06-05T13:01:12+0000
122112323342885477_27014987531520238,,2026-06-07T07:14:05+0000,Are you real or Ai created?,959200767287091_122112323342885477,video,2026-06-06T01:01:29+0000
122111533148885477_2007677540139344,1182562874931238,2026-05-31T14:54:26+0000,"Mahmuda Merlin NO,AI",959200767287091_122111533148885477,video,2026-05-30T13:00:58+0000
122111533076885477_999631342550239,1182562874931238,2026-05-31T14:52:28+0000,"Betty L Fobber NO, AI",959200767287091_122111533076885477,video,2026-05-30T01:00:56+0000
122111533322885477_1279020494217335,,2026-05-31T14:19:09+0000,Con trai nhà ai cũng biết trò chuyện mỗi ngày để thương quá nhiều chúc thành công trong cuộc sống tốt đẹp hơn mỗi ngày nhé,959200767287091_122111533322885477,video,2026-05-31T13:01:07+0000
122111533238885477_1737006527548790,,2026-05-31T08:12:39+0000,AI,959200767287091_122111533238885477,video,2026-05-31T01:00:18+0000
122111533076885477_1693181481685941,,2026-05-30T05:22:12+0000,Anh đang hiện ở đâu và bao nhiêu tuổi tôi nay đã 57tuoi rồi có hai cậu con trai   lớn đã đi làm rồi trước đây tôi là thầy làm về tâm linh cho nên tôi và chồng tôi đã ly thân nhưng chúng tôi vẫn còn hôn thú vị các con của tôi và vài năm nay để toán tâm ý lo cho các con vào đại học tôi đã xin ơn trên cho phép tôi nghĩ xã hoi nhưng tôi không buôn bỏ tình yêu của mình dành cho nhân loi tôi xin ở nhà độc kính cầu nguyện và giúp các con ăn học thành tài sâu đó tôi sẽ tiếp tục công việc cu nếu ai đó cần tôi giúp đỡ và tất nhiên mọi sự thành công điều do ơn trên giúp đỡ bởi vì tôi không có Huyền năng tôi chỉ là người dân lời cầu nguyện và chỉ dạy những điều cần thiết tôi thấy anh đã rất lâu nhìn anh thấy có nội tâm cuộc sống và tuổi thơ của Anh có gì buồn không chúng ta có thể làm bạn anh có thể chia sẻ tâm sự với tôi tôi rất tôn trọng những người lịch sự với tôi và nhất là người có giọng nói ấm áp như anh mặt dù có những từ tôi chưa hiểu rõ nhưng tâm hồn và anh mất có thể khiến tôi hiểu được xin cảm ơn bạn đã cho tôi được ngắm khuôn mặt đẹp và thân tướng đẹp và cách moi an của bạn rất thân thiện hiền hòa không kêu căng tôi tôi sẽ rất đẹp và giàu sang nếu như những vị bảo hộ của tôi chăm bạn và bạn cũng sẽ được như vậy dù bạn có đạo gì tôi cũng tôn trọng và tôi cũng muốn bạn phải tôn trọng con đường tôi đã chọn vì đạo tôi chọn là chân lý đưa con người đến chân thiện mỹ hôm nay trời thanh may tanh tâm hồn mat me nói chuyện với bạn một chút tôi không phải người kiêu căng nhưng tôi muốn trải tim bạn chắc chắn không quá mềm yếu chúc bạn thành công và luôn vui vẻ nha ly ly laky miss you,959200767287091_122111533076885477,video,2026-05-30T01:00:56+0000
122111247260885477_863110952900069,,2026-05-28T10:59:13+0000,AI good morning 🇸🇽,959200767287091_122111247260885477,video,2026-05-28T01:00:45+0000
